Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,Date
2022-09-28,2.0335606572251637,1.2435129986032465,1.4619927849117311,0.6750405817130828,1.5394782385770003,2.1302707821268614,10.033816671506425,2022-09-28
2022-09-29,1.9336739816773405,1.209688106519622,1.4235615082806103,0.6502527339720487,1.5166801118688575,2.0439624869837396,9.350508691688784,2022-09-29
2022-09-30,1.8755877768231175,1.1907208397467393,1.3976971108541605,0.6467728411229584,1.487304385245745,2.030414159583684,9.247315571708882,2022-09-30
2022-10-03,1.9332666809428247,1.2210683861897318,1.441388876518871,0.660739799226392,1.5373707951896614,2.0928035917254464,8.450704008072,2022-10-03
2022-10-04,1.9828031376635544,1.275967983401617,1.4852267699870028,0.6687005469696458,1.5893529722853663,2.20236156459063,8.69613729984361,2022-10-04
2022-10-05,1.9868742564427098,1.2744927604741285,1.4821580861151487,0.6625035485269087,1.591396424073817,2.2093864931394136,8.395272536274314,2022-10-05
2022-10-06,1.9737096923620392,1.2676435456223398,1.482011958311727,0.6629326574290091,1.5760062952606193,2.1961726785430153,8.301840913266519,2022-10-06
2022-10-07,1.9012380704269327,1.2071590840208246,1.4419733877325576,0.6361426665529581,1.4958618434317634,2.019876926432491,7.77680962228261,2022-10-07
2022-10-10,1.9057169096219375,1.1977808466702382,1.4299910197415733,0.6377634525677316,1.463995320950211,1.951967793522411,7.772974710474876,2022-10-10
2022-10-11,1.8861736089478558,1.1823963215738422,1.4200543291089025,0.6127371379772404,1.4394733023665731,1.9379176170808783,7.547761814420255,2022-10-11
2022-10-12,1.877488093902857,1.1896671205690506,1.4256071856389245,0.6077796049365121,1.441644438791686,1.9235329278356885,7.573560360396074,2022-10-12
2022-10-13,1.9405955760761053,1.185768271178619,1.4475261323729904,0.6210791698257805,1.4958618434317634,2.000474225788478,7.7297448439114795,2022-10-13
2022-10-14,1.8780307418675442,1.126443005184268,1.410994517186351,0.6042521063354787,1.4595891560214687,1.877869934236699,7.146493006000471,2022-10-14
2022-10-17,1.9327242428188043,1.1990453579196372,1.4608237624843587,0.6389549836504909,1.5168716885840368,1.9884311261688887,7.64712055455411,2022-10-17
