Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Date
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,75.97065734863281,104.79850006103516,73.90508270263672,209.3801727294922,170.9425506591797,7.321057319641113,60.06666564941406,77.76648785830864,107.22750091552734,75.27462206552566,213.42473555474115,175.64230186001902,7.598145879453889,60.87066650390625,75.35182886622782,104.4000015258789,73.6574832677561,208.03531914636304,169.65993463045433,7.236163325813091,58.6966667175293,77.32238114469776,107.10749816894531,74.95726817378268,212.66761793390208,175.32643111765134,7.5730013366298055,60.46533203125,129554000,92926000,42520000,14092300,48572600,768180000,214722000,2020-02-21
2020-02-24,72.3620376586914,100.4645004272461,70.736572265625,199.9561767578125,163.57228088378906,6.803477764129639,55.58599853515625,73.8181119648714,101.96499633789062,71.55959279941615,202.87501957275157,167.0755587186096,7.017331521390516,57.56666564941406,70.19006459555902,99.39849853515625,70.08543687850549,197.41587754572953,156.24028793473119,6.672028863906741,54.813331604003906,72.13877707909086,100.15899658203125,70.89549627943762,201.03206872530845,160.58588776840844,6.726550261165262,55.93333435058594,222195200,130940000,49560000,23080100,68311100,856916000,227883000,2020-02-24
2020-02-25,69.91094207763672,98.63700103759766,69.06563568115234,196.02120971679688,160.87301635742188,6.523900032043457,53.32733154296875,73.41765553748857,101.7300033569336,71.58300697779833,202.72559491401626,167.35310504591126,6.940652838446092,57.106666564941406,69.4377226132585,97.9209976196289,68.77170303202607,195.20432287337624,160.47098848757176,6.422076803304993,52.46666717529297,73.03422609120388,101.32099914550781,71.29156773137504,201.48035170201368,166.74051131834014,6.878662580999284,56.599998474121094,230673600,124382000,51580000,21433500,68073300,1055496000,259357500,2020-02-25
2020-02-26,71.02001190185547,98.97949981689453,69.27237701416016,196.44956970214844,162.88307189941406,6.6633148193359375,51.91999816894531,72.28922581008212,100.7334976196289,70.42819069892191,200.4443197282613,165.84075010996372,6.857500892675709,54.22066879272461,69.52753744829661,98.02249908447266,68.57889184403786,194.74608546917142,161.00701012275013,6.522654860131512,51.740665435791016,69.53481752247102,98.51399993896484,69.49706450646832,196.43961322852934,162.4427779459745,6.524148252154042,52.16666793823242,198054800,104492000,49776000,16524500,56206100,747732000,211282500,2020-02-26
2020-02-27,66.3775634765625,94.21499633789062,65.51001739501953,189.02792358398438,151.40652465820312,6.292398929595947,45.266666412353516,69.40620033933959,98.75,68.2226873655206,195.13460128916347,159.87756226966422,6.65111063731642,49.31800079345703,66.24166381662789,94.13800048828125,65.4746460468317,188.77887493631115,151.2150918330818,6.199980805842952,44.599998474121094,68.21707461192374,96.71900177001953,67.7115398365822,191.09005368306586,156.32643735669026,6.349693025409955,48.66666793823242,320605600,162880000,62290000,21682600,93174900,906416000,364158000,2020-02-27
2020-02-28,66.33873748779297,94.1875,66.72063446044922,191.73757934570312,155.072509765625,6.7275848388671875,44.53266525268555,67.56427105877654,94.48799896240234,66.88005259105421,192.0065561487702,156.6997251752608,6.787121067772913,46.03466796875,62.21562305087625,90.55650329589844,63.18146225933805,181.1281127441163,145.49115661738037,6.02311547937384,40.768001556396484,62.431610947009084,90.73149871826172,63.48536091019855,182.00475367147885,145.88360337407545,6.0398053888967755,41.97999954223633,426510000,189620000,80198000,32568900,97012700,1133252000,363343500,2020-02-28
2020-03-02,72.51492309570312,97.69750213623047,69.06563568115234,195.69247436523438,165.39089965820312,6.886014461517334,49.574668884277344,73.15317015362184,97.72550201416016,69.1229231286208,195.8219845305823,165.51533756180737,6.914910943918782,49.5793342590332,67.39682304876307,93.5,66.02067405586332,188.13136081745827,155.35967106198723,6.501645347978688,45.77799987792969,68.50343887480543,95.32450103759766,67.32544584408515,193.29164167328744,158.231207136145,6.89772262553681,47.41733169555664,341397200,135234000,55430000,24949000,71030800,890744000,302925000,2020-03-02
2020-03-03,70.2118911743164,95.44950103759766,66.6444091796875,185.1826171875,157.4654541015625,6.6234588623046875,49.70066833496094,73.77441717355254,99.81649780273438,70.15518082920593,196.4894321976902,167.50626337555664,7.001600498433995,53.798667907714844,69.35765634090362,94.40450286865234,66.22193708069483,183.26992534238775,155.31180214387678,6.538015669308391,47.740665435791016,73.69433636090781,98.76850128173828,69.63158149075487,195.4733094297256,166.3576519192017,6.941815302713952,53.66666793823242,319475600,150690000,56602000,27984100,71677000,652792000,386760000,2020-03-03
2020-03-04,73.4686508178711,98.79149627685547,68.83048248291016,191.0302734375,163.24684143066406,7.087291717529297,49.96666717529297,73.62881987433597,98.9000015258789,68.88926748762059,191.1000143567284,163.39041240338062,7.096757741227879,51.10133361816406,71.13650877871662,96.0999984741211,66.6085339749811,185.68071323213715,158.52794252039857,6.656090415241344,48.31533432006836,71.93977581539738,97.32849884033203,67.70256753542472,188.45013303907226,161.27505550994934,6.730822256303382,50.930667877197266,219178400,95458000,47598000,23062500,49814400,597408000,225735000,2020-03-04
2020-03-05,71.0855484008789,96.20149993896484,65.50055694580078,184.46536254882812,159.15011596679688,6.807796001434326,48.30266571044922,72.69450423193115,98.03600311279297,67.4370414491301,188.2708334294741,163.5531294844052,7.054659056168666,49.71666717529297,70.7191006767236,95.5,64.84692814514692,183.1902346057494,158.59495053526152,6.763205958609007,47.871334075927734,71.71650798671432,96.6500015258789,67.03449374191095,186.06923655233362,158.93953547189074,6.887758556281845,48.2513313293457,187572800,94964000,54380000,19333400,47817300,540328000,162790500,2020-03-05
